Toronto Municipality,HPI - Single-Family Detached,HPI - Single-Family Attached,HPI - Townhouse,HPI - Apartment,Effective Date
Toronto E04,582300,452900,425300,280400,2016-01-01
Toronto E05,746500,556600,429600,311600,2016-01-01
Toronto E06,586700,483700,521800,391400,2016-01-01
Toronto E07,744300,567000,441400,302200,2016-01-01
Toronto E08,625600,497400,386400,262500,2016-01-01
Toronto E09,573200,468200,339700,276400,2016-01-01
Toronto E10,630600,494200,354100,210400,2016-01-01
Toronto E11,555100,435700,302200,218900,2016-01-01
City of Toronto,878000,688500,453400,349200,2016-02-01
Toronto W01,937500,758900,401900,357300,2016-02-01
Toronto W02,865700,742200,459600,595800,2016-02-01
Toronto W03,576100,549800,328500,283800,2016-02-01
Toronto W04,601500,559200,446700,229600,2016-02-01
Toronto W05,618500,503600,292300,196200,2016-02-01
Toronto W06,645000,515100,518200,307800,2016-02-01
Toronto W07,816000,720400,467200,438800,2016-02-01
Toronto W08,901800,662000,368200,289300,2016-02-01
Toronto W09,691700,478200,492400,204900,2016-02-01
Toronto W10,554800,487800,295300,215800,2016-02-01
Toronto C01,698900,758700,556200,396800,2016-02-01
Toronto C02,1446500,1110300,939900,527700,2016-02-01
Toronto C03,1237300,817400,,577000,2016-02-01
Toronto C04,1403600,975800,630600,374900,2016-02-01
Toronto C06,921500,724200,,406200,2016-02-01
Toronto C07,1084100,668900,467100,377000,2016-02-01
Toronto C08,488300,800200,549300,396900,2016-02-01
Toronto C09,1644400,1205100,825900,508500,2016-02-01
Toronto C10,1283900,1014500,549200,484000,2016-02-01
Toronto C11,1242600,935200,187900,275600,2016-02-01
Toronto C12,1822700,872600,689900,591300,2016-02-01
Toronto C13,1087700,611400,518300,317800,2016-02-01
Toronto C14,1286300,1004400,767400,413700,2016-02-01
Toronto C15,1111100,697800,490800,347300,2016-02-01
Toronto E01,795500,766800,426000,474600,2016-02-01
Toronto E02,844700,747500,667100,574600,2016-02-01
Toronto E03,731500,674600,,237600,2016-02-01
Toronto E04,593000,472100,412100,276900,2016-02-01
Toronto E05,755300,575300,437000,314000,2016-02-01
Toronto E06,601300,499600,498800,424000,2016-02-01
Toronto E07,768800,581900,452700,290200,2016-02-01
Toronto E08,632800,468100,386000,256200,2016-02-01
Toronto E09,579200,459400,342200,298500,2016-02-01
Toronto E10,649200,506700,359100,236000,2016-02-01
Toronto E11,568500,451600,306300,249300,2016-02-01
City of Toronto,897600,701800,464500,355400,2016-03-01
Toronto W01,957100,777400,391600,351900,2016-03-01
Toronto W02,895700,768500,458500,601900,2016-03-01
Toronto W03,587800,551900,326300,285900,2016-03-01
Toronto W04,608800,556000,452500,233800,2016-03-01
Toronto W05,636100,516500,297900,191600,2016-03-01
Toronto W06,667500,542100,546500,313700,2016-03-01
Toronto W07,841100,754000,483000,459400,2016-03-01
Toronto W08,926400,685900,379700,297500,2016-03-01
Toronto W09,709300,485800,475600,196400,2016-03-01
Toronto W10,573300,495900,299100,218700,2016-03-01
Toronto C01,714800,774000,570200,403300,2016-03-01
Toronto C02,1471900,1134000,950200,534100,2016-03-01
Toronto C03,1253600,827400,,572000,2016-03-01
Toronto C04,1400800,974800,638500,358700,2016-03-01
Toronto C06,942900,730900,,418300,2016-03-01
Toronto C07,1111500,683900,480300,370400,2016-03-01
Toronto C08,495400,809400,573500,411000,2016-03-01
Toronto C09,1708400,1223000,867700,499900,2016-03-01
Toronto C10,1314500,1042100,563600,485400,2016-03-01
